Source,Target,Interaction,n,thershold
Ets1,Fos,0.5479176123279974,0.3798968906373223,0.30334072761421976
Egr1,Fos,0.35373378698514174,0.1253114309156835,0.9865436981745689
Cebpb,Fos,3.1626504856653646,0.6448817842011164,0.33157846740453606
Stat1,Fos,3.523486674537123,1.0,0.6129748389663784
Ets1,Sp3,2.019830340395013,0.0008106952133884532,0.7593478206083571
Ets2,Sp3,0.15791389711596077,0.0,0.5920760371439296
Cebpb,Cebpa,0.153861838015949,1.0,0.2527542173046865
Ctnnb1,Cebpa,5.571717737658193,0.3791269444017841,0.10485246004728523
Jund,Cebpb,5.058778506604908,0.2993133450317563,0.1360300837814683
Fos,Cebpb,4.730654307886628,0.6133086341750332,0.4896299003632026
Cebpa,Cebpb,3.9787851566567634,0.7724050621268843,0.8180753655175516
Egr1,Cebpb,4.518425099332075,0.0,0.99
Cebpa,Jun,1.0692688235472305,0.9999642622072512,0.6728929939710164
Egr1,Jun,0.8782875270132,0.0011417076873774484,0.3347630094541138
Ctnnb1,Jun,7.962679968004853,0.11224423089244662,0.8613910878926628
Hif1a,Jun,8.533860288349624,0.029190820760012608,0.99
Jun,Per1,2.715728100391793,0.21808757836620687,0.2229937654633384
Cebpa,Per1,0.28645324280501994,0.18038707054417688,0.12093068949878064
Cebpb,Per1,2.9515461854602028,0.7867629133274608,0.45550289202454985
Egr1,Per1,3.6756178380519087,0.1634001974226232,0.988946613606874
Jund,Relb,2.7012362769035145,0.14995762916412586,0.1793027078424826
Jun,Relb,1.1753915670736896,0.08762656907096146,0.17899954896437284
Nfkb2,Relb,3.717375684854159,0.4560558405546461,0.7863281562165958
Cebpa,Jund,0.01,0.05483645654183944,0.7156323518725258
Cebpb,Jund,9.333237031326568,0.2025032880472737,0.40162889541250946
Ets1,Jund,0.013154208352495571,0.3395884779417197,0.7657732247224642
Nfkb2,Egr1,91.0096450903526,0.8154237827645954,0.99
Fos,Nfkb2,8.5819951463597,0.11205266250375986,0.99
Egr1,Nfkb2,3.2837799108956354,0.028587499220670155,0.99
Fos,Ctnnb1,2.6166225231261087,0.1075230581596328,0.99
Jun,Ctnnb1,3.6071381294603366,0.14878944712861802,0.22393722312152872
Cebpb,Ctnnb1,4.0615673096778275,0.1678978498134247,0.7916977770623754
Stat1,Hif1a,3.847610346284293,1.0,0.3396263229102026
Nfkb2,Hif1a,5.628333177825474,0.0,0.9350569828630455
Ctnnb1,Hif1a,5.432214746321518,1.0,0.12274534380420732
Fos,Stat1,3.6496387729872164,0.0,0.8992208050916656
Cebpb,Stat1,3.502593407243944,0.637210408384853,0.9899999948885729
Egr1,Stat1,0.4109271049224534,0.0,0.420159741468766
Fos,Ets2,11.686906912662991,0.08628251014641349,0.29140123979707544
Nfkb2,Ets2,9.965944777835734,0.48496057614417193,0.99
Cebpb,Ets1,2.393907410424179,0.41066311140139355,0.99
Jund,Ets1,5.2839763717208195,0.970112169558073,0.5440702046809566
Jun,Ets1,0.01,0.4998892814270942,0.17212830694810366
