Source,Target,weight
Cebpa,Stat1,0.06968977
Cebpa,Relb,0.06968538
Per1,Egr1,0.06966059
Per1,Relb,0.0696555
Cebpa,Cebpb,0.069654204
Stat1,Ctnnb1,0.06964599
Per1,Ctnnb1,0.06964373
Per1,Fos,0.06964277
Fos,Ets2,0.06963031
Cebpa,Jun,0.06962931
Cebpa,Ets1,0.069620825
Fos,Relb,0.069619186
Per1,Jun,0.06961884
Per1,Sp3,0.06961883
Hif1a,Egr1,0.06960994
Fos,Jund,0.06960719
Hif1a,Stat1,0.06960548
Stat1,Cebpb,0.06960397
Fos,Per1,0.069603845
Sp3,Jun,0.069603436
Cebpa,Egr1,0.06960052
Per1,Cebpb,0.06959664
Per1,Jund,0.069596596
Stat1,Ets1,0.0695905
Stat1,Jund,0.0695893
Sp3,Ets1,0.06958927
Fos,Cebpb,0.069586776
Per1,Cebpa,0.0695861
Stat1,Jun,0.069582954
Egr1,Hif1a,0.069581166
Ets2,Fos,0.06957468
Ets2,Egr1,0.069570094
Ets2,Nfkb2,0.069567785
Sp3,Nfkb2,0.06956736
Hif1a,Cebpa,0.0695673
Relb,Egr1,0.06956672
Cebpa,Ctnnb1,0.069566675
Hif1a,Sp3,0.06956467
Fos,Ctnnb1,0.0695644
Egr1,Stat1,0.069563486
Fos,Ets1,0.06956314
Relb,Fos,0.06955991
Hif1a,Ets2,0.069559544
Stat1,Relb,0.06955944
Fos,Hif1a,0.069558576
Cebpa,Sp3,0.06955812
Nfkb2,Jun,0.06955749
Relb,Sp3,0.069556884
Cebpa,Jund,0.06955662
Nfkb2,Fos,0.0695496
Sp3,Ctnnb1,0.06954823
Sp3,Cebpa,0.069548
Cebpb,Cebpa,0.06954786
Nfkb2,Cebpa,0.06954566
Ets1,Per1,0.06954501
Sp3,Hif1a,0.06954486
Ets2,Jund,0.06954445
Cebpa,Ets2,0.069541916
Cebpb,Per1,0.069540456
Egr1,Ets1,0.06954023
Cebpa,Fos,0.06954021
Fos,Sp3,0.06953675
Cebpa,Nfkb2,0.069535196
Hif1a,Ctnnb1,0.06953307
Stat1,Sp3,0.06953268
Ets2,Jun,0.06953214
Stat1,Fos,0.06953206
Sp3,Ets2,0.06953069
Ets2,Hif1a,0.06952789
Per1,Ets2,0.06952484
Jun,Jund,0.06952451
Nfkb2,Per1,0.06952438
Cebpb,Ets2,0.069523506
Cebpb,Egr1,0.06952339
Cebpb,Sp3,0.06952056
Stat1,Per1,0.06952054
Sp3,Cebpb,0.06951785
Per1,Ets1,0.06951776
Jun,Cebpb,0.069517545
Fos,Jun,0.06951684
Egr1,Sp3,0.0695155
Ctnnb1,Ets2,0.06951487
Relb,Jund,0.069514774
Ets2,Cebpb,0.06951457
Stat1,Hif1a,0.06951446
Ets2,Stat1,0.069514014
Egr1,Jund,0.069513835
Stat1,Ets2,0.06951238
Relb,Nfkb2,0.06951237
Nfkb2,Cebpb,0.06951223
Per1,Nfkb2,0.069511585
Jun,Nfkb2,0.06951151
Sp3,Relb,0.06951122
Relb,Cebpa,0.06951033
Ctnnb1,Jund,0.069508664
Egr1,Fos,0.069508076
