Source,Target,Interaction
Egr1,Fos,1
Cebpb,Fos,1
Jun,Fos,1
Stat1,Fos,1
Ets1,Sp3,1
Egr1,Sp3,1
Ets2,Sp3,1
Cebpb,Sp3,1
Stat1,Sp3,1
Egr1,Cebpa,1
Cebpb,Cebpa,1
Ctnnb1,Cebpa,1
Jund,Cebpb,1
Jun,Cebpb,1
Cebpa,Cebpb,1
Egr1,Cebpb,1
Jund,Jun,1
Relb,Jun,1
Hif1a,Jun,1
Jund,Per1,1
Jun,Per1,1
Cebpa,Per1,1
Cebpb,Per1,1
Jund,Relb,1
Jun,Relb,1
Fos,Relb,1
Nfkb2,Relb,1
Cebpa,Jund,1
Cebpb,Jund,1
Ets1,Jund,1
Jund,Egr1,1
Ets2,Egr1,1
Jun,Nfkb2,1
Jund,Nfkb2,1
Relb,Nfkb2,1
Fos,Nfkb2,1
Egr1,Nfkb2,1
Nfkb2,Ctnnb1,1
Egr1,Ctnnb1,1
Jun,Ctnnb1,1
Egr1,Hif1a,1
Sp3,Hif1a,1
Ctnnb1,Hif1a,1
Nfkb2,Stat1,1
Fos,Stat1,1
Cebpb,Stat1,1
Egr1,Stat1,1
Relb,Stat1,1
Jund,Ets2,1
Nfkb2,Ets2,1
Cebpb,Ets1,1
Fos,Ets1,1
Cebpa,Ets1,1
Hif1a,Ets1,1
Jund,Ets1,1
Jun,Ets1,1
