"","x"
"1",4.32563370533783e-05
"2",0.0127009366365843
"3",0.0253586169361153
"4",0.0380162972356463
"5",0.0506739775351773
"6",0.0633316578347082
"7",0.0759893381342392
"8",0.0886470184337702
"9",0.101304698733301
"10",0.113962379032832
"11",0.126620059332363
"12",0.139277739631894
"13",0.151935419931425
"14",0.164593100230956
"15",0.177250780530487
"16",0.189908460830018
"17",0.202566141129549
"18",0.21522382142908
"19",0.227881501728611
"20",0.240539182028142
"21",0.253196862327673
"22",0.265854542627204
"23",0.278512222926735
"24",0.291169903226266
"25",0.303827583525797
"26",0.316485263825328
"27",0.329142944124859
"28",0.34180062442439
"29",0.354458304723921
"30",0.367115985023451
"31",0.379773665322983
"32",0.392431345622513
"33",0.405089025922044
"34",0.417746706221575
"35",0.430404386521106
"36",0.443062066820637
"37",0.455719747120168
"38",0.468377427419699
"39",0.48103510771923
"40",0.493692788018761
"41",0.506350468318292
"42",0.519008148617823
"43",0.531665828917354
"44",0.544323509216885
"45",0.556981189516416
"46",0.569638869815947
"47",0.582296550115478
"48",0.594954230415009
"49",0.60761191071454
"50",0.620269591014071
"51",0.632927271313602
"52",0.645584951613133
"53",0.658242631912664
"54",0.670900312212195
"55",0.683557992511726
"56",0.696215672811257
"57",0.708873353110788
"58",0.721531033410319
"59",0.73418871370985
"60",0.746846394009381
"61",0.759504074308912
"62",0.772161754608443
"63",0.784819434907973
"64",0.797477115207505
"65",0.810134795507035
"66",0.822792475806566
"67",0.835450156106098
"68",0.848107836405628
"69",0.860765516705159
"70",0.87342319700469
"71",0.886080877304221
"72",0.898738557603752
"73",0.911396237903283
"74",0.924053918202814
"75",0.936711598502345
"76",0.949369278801876
"77",0.962026959101407
"78",0.974684639400938
"79",0.987342319700469
"80",1
