Source,Target,weight
Ets1,Cebpb,11.6480960189555
Sp3,Cebpb,11.093014668511
Ets2,Jund,-4.82228423107489
Hif1a,Cebpb,-4.43965668563261
Stat1,Cebpb,3.63777788042146
Sp3,Hif1a,2.9010547971618
Ets1,Hif1a,2.89906487984618
Sp3,Ets1,-2.50470252060122
Ets2,Fos,-2.16740742355936
Egr1,Jund,-2.05098893249939
Ets1,Fos,-1.89476192665681
Jund,Cebpb,-1.86949800396698
Sp3,Jund,1.8549215004301
Ctnnb1,Cebpb,1.80179387775241
Ctnnb1,Jund,-1.73337996781629
Cebpb,Jund,1.55152766484276
Per1,Jund,-1.53875200252717
Ets2,Cebpb,1.40836499496761
Ets2,Ctnnb1,-1.28566954382718
Sp3,Fos,-1.20517212896624
Ets2,Egr1,1.15612970706345
Hif1a,Fos,1.0875691878408
Nfkb2,Cebpb,1.05761006448097
Nfkb2,Jund,-1.05579157989431
Hif1a,Ets1,1.02940564734908
Ctnnb1,Fos,-1.00452066021459
Stat1,Hif1a,0.904501887522375
Relb,Jund,-0.894251653162853
Stat1,Ets1,-0.816938733246906
Egr1,Fos,-0.805122160435266
Ets1,Sp3,-0.777030515428055
Hif1a,Jund,0.772494534746808
Sp3,Ets2,-0.74637622643607
Relb,Cebpb,0.718783000007112
Per1,Fos,-0.692872636186037
Fos,Cebpb,0.653910399662437
Ets1,Ets2,-0.625484244470127
Nfkb2,Fos,-0.605779901169558
Cebpb,Ctnnb1,0.581787777966688
Ets1,Egr1,0.575500779431259
Stat1,Fos,-0.56421076557945
Jund,Fos,0.546174278940272
Cebpb,Fos,0.522709898166989
Ets2,Per1,0.5216795485409
Egr1,Ctnnb1,-0.514935061376621
Ctnnb1,Egr1,0.500488398808624
Relb,Fos,-0.482035116501218
Jund,Ets1,0.471247502201648
Per1,Cebpb,0.455670034810839
Cebpa,Cebpb,0.445526034161069
Ets1,Cebpa,0.434438002936506
Jund,Hif1a,-0.431069235180942
Ets1,Nfkb2,-0.415689558467652
Per1,Ctnnb1,-0.409036774191911
Hif1a,Ctnnb1,0.406694045389374
Ctnnb1,Ets1,-0.395330472126226
Hif1a,Egr1,-0.39139548311935
Jun,Jund,-0.380073434686764
Sp3,Nfkb2,-0.376672841642896
Per1,Egr1,0.370980594098194
Ets1,Jund,0.369797745056543
Ets1,Ctnnb1,-0.360736095546843
Sp3,Cebpa,0.340833600956455
Ets2,Ets1,-0.32597361382718
Nfkb2,Ctnnb1,-0.3112912534292
Egr1,Ets2,0.308797365344746
Nfkb2,Egr1,0.294745930873877
Hif1a,Sp3,0.286885139383166
Ets2,Cebpa,0.285162228601338
Ets2,Jun,-0.265948089540983
Jun,Cebpb,-0.263608486268654
Ctnnb1,Hif1a,0.256886679825897
Relb,Ctnnb1,-0.253859839658954
Jund,Ctnnb1,0.247973774773677
Stat1,Sp3,-0.243914244217285
Relb,Egr1,0.242383180441022
Nfkb2,Ets1,-0.240858860682051
Sp3,Egr1,0.23765686706915
Egr1,Hif1a,-0.226438061211728
Egr1,Per1,0.22324830115323
Cebpb,Ets2,0.219925075246169
Ets2,Stat1,-0.213978417721359
Hif1a,Cebpa,-0.210496424295109
Cebpb,Hif1a,0.204345305892305
Ctnnb1,Per1,0.203669646194595
Per1,Ets2,0.199616287539534
Jund,Egr1,-0.197572485011593
Hif1a,Ets2,0.189096825867631
Ctnnb1,Ets2,0.188349158577196
Stat1,Jund,0.18280254499035
Hif1a,Nfkb2,0.180520878747915
Stat1,Egr1,0.178619970101949
Fos,Hif1a,0.173814605190346
Stat1,Ets2,-0.169836579423091
Cebpa,Jund,0.165339260000421
Relb,Ets1,-0.162955596392815
Nfkb2,Hif1a,0.152592593096938
Ctnnb1,Cebpa,0.152553164687927
Fos,Ets1,-0.14531079797891
Jund,Sp3,0.144278669173145
Ets2,Hif1a,-0.143546571549392
Stat1,Cebpa,0.131921216226053
Cebpb,Egr1,-0.125710273155517
Sp3,Per1,-0.12360840730499
Cebpa,Hif1a,0.123243520301834
Stat1,Nfkb2,-0.12110642243161
Cebpb,Jun,0.117714170332819
Nfkb2,Per1,0.117415304527914
Sp3,Relb,-0.113895307869211
