Source,Target,Interaction,n,thershold
Cebpb,Ets1,0.08088574290165383,0.3295289559616982,0.031105772897648473
Nfkb2,Egr1,100.0,0.472588802211087,0.9276591493782217
Nfkb2,Nfkb1,2.0923696836309107,0.6259286394522041,0.7715676278582915
Jun,Nfkb1,0.4515500853706515,0.9987226730061383,0.574475700824235
Cebpb,Nfkb1,1.8070923972838315,0.5286701593228319,0.19263003196006634
Cebpb,Stat4,2.4004131776166187,0.5509034937845441,0.2131234563158
Nfkb2,Stat4,1.714971366911625,0.8773020795168446,0.7806628669771851
Rel,Stat4,0.34415625358720286,0.6932011868552562,0.055525103241428786
Cebpb,Cebpa,0.13621226330565875,0.3190952019355644,0.12338477279336978
Ctnnb1,Cebpa,10.440277887555855,0.31953745328698663,0.12354382746236497
Cebpb,Stat1,2.5891805298650197,0.0005163030557590614,0.062073228521618055
Stat4,Stat1,0.01,0.35472807230186204,0.7775064248789165
Fos,Ets2,5.068798287566742,0.00046198478013832213,0.38831165831338627
Cebpb,Ets2,4.923929251527532,0.30021961929129876,0.32948436647095786
Nfkb2,Ets2,5.492889309386636,0.3625304136511812,0.9882868450557063
Stat1,Ctnnb1,0.14953086553566267,0.5786858443965328,0.17314209942358566
Cebpb,Ctnnb1,2.3946459288505415,0.14216743624489186,0.4746778667742086
Jun,Ctnnb1,3.511790614987047,0.5673336251053382,0.17614007324883546
Fos,Ctnnb1,3.3045304482831472,0.12169977712418362,0.309211438866206
Stat1,Hif1a,0.7344318383175069,0.2006049738400334,0.8600169674942624
Nfkb2,Hif1a,4.493914456573587,0.18169484427639018,0.8379569080263043
Ctnnb1,Hif1a,4.148362526795145,0.10655320606306808,0.21826883776868627
Cebpb,Jun,3.8503532920790065,0.22820886161203643,0.12675386943967334
Cebpa,Jun,0.6013217846435528,0.3072057582301994,0.6956421098785953
Egr1,Jun,2.000822439508566,0.27495444881206704,0.49939605675426246
Ets1,Jun,0.025605653844384877,0.3356182889795755,0.7163459324445585
Ctnnb1,Jun,0.2862164647701967,0.4894043475847449,0.4532341524533758
Nfkb2,Rel,4.860806944121887,0.1620737068141515,0.1938711411845438
Egr1,Rel,5.141259989279268,0.029290832846203284,0.8312128163074685
Fos,Nfkb2,6.525580102256539,0.0,0.38627839184324997
Egr1,Nfkb2,5.5479398313228465,0.0,0.6226240161663864
Jun,Per1,4.2495297113412,0.14729673673980917,0.6122968378927206
Cebpb,Per1,5.146260900366415,0.38445592115716853,0.21431679454252062
Cebpa,Per1,1.5803918149880902,0.9939330100340011,0.99
Egr1,Per1,3.1018587110140636,0.12811041196956532,0.5302052554551221
Egr1,Cebpb,10.193304222706255,0.013954376332989956,0.9554555684669487
Ets1,Cebpb,0.01,0.5841073197862524,0.8455773470348141
Fos,Cebpb,13.31005417287167,0.13330985292030878,0.5585831909099171
Cebpb,Fos,6.5392205214748405,0.22120378625106815,0.185130299193168
Ets1,Fos,0.01,1.0,0.5731063341983126
Rel,Fos,9.636210217779809,1.0,0.12445441992026339
