Source,Target,weight
Cebpb,Rel,0.06966282
Ctnnb1,Stat4,0.069661275
Cebpb,Nfkb1,0.06964314
Ctnnb1,Stat1,0.069641136
Stat1,Hif1a,0.06963743
Jun,Ets2,0.06963225
Stat1,Nfkb1,0.069625
Ctnnb1,Cebpa,0.069621466
Ctnnb1,Ets2,0.06961927
Cebpb,Egr1,0.069616124
Jun,Ets1,0.06961541
Ctnnb1,Cebpb,0.069610484
Cebpb,Ets1,0.06960523
Cebpb,Jun,0.06960351
Stat1,Egr1,0.069602646
Jun,Stat1,0.0696018
Ctnnb1,Hif1a,0.06959707
Jun,Per1,0.06959006
Ctnnb1,Ets1,0.06958673
Cebpb,Nfkb2,0.06958665
Cebpb,Per1,0.06958645
Ctnnb1,Per1,0.06958535
Stat1,Ets1,0.069582485
Stat1,Per1,0.06957579
Cebpb,Fos,0.06957131
Stat1,Ctnnb1,0.069567315
Ctnnb1,Egr1,0.069565475
Stat1,Cebpa,0.069553785
Jun,Cebpa,0.06955265
Fos,Ctnnb1,0.069549695
Cebpb,Cebpa,0.06954547
Fos,Egr1,0.06954441
Fos,Cebpa,0.069542624
Jun,Hif1a,0.069536194
Stat1,Fos,0.06953243
Ctnnb1,Rel,0.069528624
Jun,Rel,0.06952482
Cebpb,Ets2,0.06951758
Jun,Egr1,0.06951362
Fos,Stat1,0.06951141
Jun,Fos,0.06951109
Stat1,Rel,0.06950824
Jun,Cebpb,0.069508106
Ctnnb1,Nfkb1,0.06950724
Cebpb,Stat1,0.06950382
Stat1,Ets2,0.06950327
Cebpb,Stat4,0.06950168
Stat1,Jun,0.069499746
Stat1,Nfkb2,0.06949789
Cebpb,Hif1a,0.06949506
Fos,Jun,0.0694948
Ctnnb1,Jun,0.069492616
Ctnnb1,Fos,0.069492236
Stat1,Stat4,0.069490984
Cebpb,Ctnnb1,0.069489576
Stat1,Cebpb,0.069489054
Jun,Ctnnb1,0.069489025
Fos,Rel,0.06947782
Ctnnb1,Nfkb2,0.06947612
Fos,Stat4,0.0694757
Jun,Nfkb1,0.069461815
Jun,Nfkb2,0.069459885
Jun,Stat4,0.06945824
Fos,Ets1,0.06945805
Fos,Nfkb1,0.06945376
Hif1a,Rel,0.06945157
Hif1a,Per1,0.069449835
Hif1a,Nfkb2,0.06944824
Hif1a,Cebpb,0.06944784
Cebpa,Ets1,0.06943932
Cebpa,Ets2,0.06943149
Fos,Ets2,0.0694301
Fos,Nfkb2,0.06942789
Cebpa,Fos,0.06942635
Hif1a,Ets1,0.06942322
Fos,Per1,0.069423184
Cebpa,Hif1a,0.06942182
Ets1,Cebpb,0.069416635
Hif1a,Stat4,0.06941456
Hif1a,Nfkb1,0.06941363
Ets1,Nfkb1,0.06941355
Cebpa,Nfkb1,0.06941139
Hif1a,Stat1,0.069411345
Ets1,Per1,0.06940697
Cebpa,Stat4,0.0694001
Hif1a,Egr1,0.069399945
Hif1a,Ets2,0.069398455
Fos,Hif1a,0.06938706
Cebpa,Stat1,0.06938446
Cebpa,Rel,0.069374986
Hif1a,Jun,0.06936612
Rel,Stat4,0.06936596
Fos,Cebpb,0.06936584
