Source,Target,Interaction
Cebpb,Ets1,2.0
Nfkb2,Egr1,1.0
Nfkb2,Nfkb1,1.0
Jun,Nfkb1,2.0
Cebpb,Nfkb1,1.0
Cebpb,Stat4,1.0
Nfkb2,Stat4,1.0
Rel,Stat4,2.0
Cebpb,Cebpa,2.0
Ctnnb1,Cebpa,1.0
Cebpb,Stat1,1.0
Stat4,Stat1,2.0
Fos,Ets2,1.0
Cebpb,Ets2,1.0
Nfkb2,Ets2,1.0
Stat1,Ctnnb1,2.0
Cebpb,Ctnnb1,1.0
Jun,Ctnnb1,1.0
Fos,Ctnnb1,1.0
Stat1,Hif1a,2.0
Nfkb2,Hif1a,1.0
Ctnnb1,Hif1a,1.0
Cebpb,Jun,1.0
Cebpa,Jun,2.0
Egr1,Jun,1.0
Ets1,Jun,2.0
Ctnnb1,Jun,2.0
Nfkb2,Rel,1.0
Egr1,Rel,1.0
Fos,Nfkb2,1.0
Egr1,Nfkb2,1.0
Jun,Per1,1.0
Cebpb,Per1,1.0
Cebpa,Per1,1.0
Egr1,Per1,1.0
Egr1,Cebpb,1.0
Ets1,Cebpb,2.0
Fos,Cebpb,1.0
Cebpb,Fos,1.0
Ets1,Fos,2.0
Rel,Fos,1.0
