"","x"
"1","Tcea1"
"2","Atp6v1h"
"3","Vcpip1"
"4","Ppp1r42"
"5","Cops5"
"6","Cspp1"
"7","Arfgef1"
"8","Tram1"
"9","Rpl7"
"10","Ly96"
"11","Smap1"
"12","Rab23"
"13","Zfp451"
"14","Arhgef4"
"15","Plekhb2"
"16","Uggt1"
"17","Kansl3"
"18","Mitd1"
"19","Mrpl30"
"20","Txndc9"
"21","Eif5b"
"22","Pdcl3"
"23","Rpl31"
"24","Tbc1d8"
"25","Map4k4"
"26","Il1r2"
"27","Il18r1"
"28","Nabp1"
"29","Stat4"
"30","Stat1"
"31","Nab1"
"32","Hibch"
"33","Ormdl1"
"34","Asnsd1"
"35","Coq10b"
"36","Ndufb3"
"37","Trak2"
"38","Stradb"
"39","Fam117b"
"40","Nbeal1"
"41","Gm20342"
"42","Klf7"
"43","Idh1"
"44","Pikfyve"
"45","Rpe"
"46","Acadl"
"47","Rpl37a"
"48","Rufy4"
"49","Pnkd"
"50","Catip"
"51","Slc11a1"
"52","Usp37"
"53","Bcs1l"
"54","Nhej1"
"55","Zfand2b"
"56","Ankzf1"
"57","Stk16"
"58","Tuba4a"
"59","Dnajb2"
"60","Ap1s3"
"61","Wdfy1"
"62","C130026I21Rik"
"63","A530032D15Rik"
"64","Sp110"
"65","Sp140"
"66","A630001G21Rik"
"67","Psmd1"
"68","Ptma"
"69","Atg16l1"
"70","Sag"
"71","Dgkd"
"72","Hjurp"
"73","Arl4c"
"74","Agap1"
"75","Cops8"
"76","Ube2f"
"77","Hes6"
"78","Per2"
"79","Ndufa10"
"80","Cops9"
"81","Gpc1"
"82","Gpr35"
"83","Ppp1r7"
"84","Hdlbp"
"85","Thap4"
"86","Ing5"
"87","St8sia4"
"88","Slco4c1"
"89","Panct2"
"90","Ppip5k2"
"91","Pam"
"92","Zcchc2"
"93","Tsn"
"94","Clasp1"
"95","Dbi"
"96","Rab3gap1"
"97","R3hdm1"
"98","Dars"
"99","Cxcr4"
"100","Cd55"
"101","Yod1"
"102","Mapkapk2"
"103","Ctse"
"104","Nucks1"
"105","Dstyk"
"106","Pik3c2b"
"107","Ppp1r15b"
"108","Snrpe"
"109","Btg2"
"110","Chil1"
"111","Klhl12"
"112","Rabif"
"113","Ptpn7"
"114","Rnpep"
"115","Zfp281"
"116","Gm19705"
"117","2310009B15Rik"
"118","Ro60"
"119","Rgs18"
"120","Pla2g4a"
"121","Ptgs2"
"122","Ptgs2os2"
"123","Odr4"
"124","Tpr"
"125","Gm10138"
"126","Ivns1abp"
"127","Swt1"
"128","Glul"
"129","Stx6"
"130","Acbd6"
"131","Qsox1"
"132","4930523C07Rik"
"133","Mrps14"
"134","Cacybp"
"135","Rabgap1l"
"136","Zbtb37"
"137","Cenpl"
"138","Prdx6"
"139","Suco"
"140","Selp"
"141","F5"
"142","Mpc2"
"143","Tmco1"
"144","Uap1"
"145","Gm7694"
"146","Nos1ap"
"147","Olfml2b"
"148","Fcgr2b"
"149","Usp21"
"150","Itln1"
"151","Cd244a"
"152","Cd48"
"153","Tagln2"
"154","Aim2"
"155","Adss"
"156","Cox20"
"157","Ahctf1"
"158","Psen2"
"159","Itpkb"
"160","Sde2"
"161","Tmem63a"
"162","Nvl"
"163","Degs1"
"164","1700047M11Rik"
"165","Aida"
"166","Gm37800"
"167","Hlx"
"168","Rps6kc1"
"169","Atf3"
"170","Ppp2r5a"
"171","Lpgat1"
"172","Rcor3"
"173","A130010J15Rik"
"174","Traf3ip3"
"175","Lamb3"
"176","Hsd11b1"
"177","G0s2"
"178","Dclre1c"
"179","Optn"
"180","Kin"
"181","Itih5"
"182","Sfmbt2"
"183","Pfkfb3"
"184","Fbh1"
"185","Rsu1"
"186","Vim"
"187","Nsun6"
"188","Arl5b"
"189","Dnajc1"
"190","Commd3"
"191","Armc3"
"192","Msrb2"
"193","Spopl"
"194","Il1f9"
"195","Il1rn"
"196","Ehmt1"
"197","Mrpl41"
"198","Tubb4b"
"199","Ssna1"
"200","Man1b1"
"201","Uap1l1"
"202","Agpat2"
"203","Rpl7a"
"204","Slc2a6"
"205","Brd3"
"206","Wdr5"
"207","Fcnb"
"208","F730016J06Rik"
"209","Ralgds"
"210","Ttf1"
"211","Coq4"
"212","Set"
"213","Zer1"
"214","Ptpa"
