Source,Target,weight
Ets1,Cebpb,7.31296704839986
Ets1,Egr1,6.27508022172231
Ets1,Ets2,5.00011124202626
Fos,Egr1,4.79628289899308
Fos,Ets2,4.60699062851843
Cebpa,Egr1,-4.11254101164871
Egr1,Ets2,-3.54673424155068
Cebpa,Ets2,-3.5048487674849
Ets2,Egr1,3.4278981863098
Ets1,Rel,2.81145564908259
Ets1,Ctnnb1,2.76144973370758
Nfkb1,Cebpb,2.51988863587108
Ets1,Cebpa,2.38424063958911
Stat1,Cebpb,2.35951348741802
Cebpa,Fos,2.34839581456089
Ets2,Fos,-2.26429800635304
Ets1,Nfkb1,2.0635758155104
Nfkb1,Fos,2.04113701248997
Ets1,Per1,2.01958952750935
Egr1,Cebpb,-1.94250425480493
Fos,Per1,1.91777821711185
Fos,Rel,1.81179804097974
Nfkb1,Egr1,-1.72315828473725
Nfkb1,Ets2,-1.66388349849005
Ets1,Hif1a,1.64010520105654
Fos,Nfkb1,1.63262882151594
Stat1,Fos,1.60322153132865
Cebpa,Rel,-1.60031047991784
Cebpb,Egr1,-1.55607167500777
Fos,Stat1,-1.52352120553477
Egr1,Rel,-1.51507758006468
Ets1,Nfkb2,1.51286947261299
Cebpa,Per1,-1.47986162534774
Egr1,Fos,1.46680677627464
Egr1,Per1,-1.435758986759
Cebpa,Nfkb1,-1.41490078627073
Ets1,Fos,-1.38618130399239
Cebpb,Fos,1.37846321235616
Rel,Egr1,-1.34283324214159
Ets2,Rel,1.30570187002125
Nfkb1,Ets1,-1.27553745105838
Rel,Ets2,-1.26525670074915
Ets2,Nfkb1,1.22153473561656
Egr1,Nfkb1,-1.21013210662104
Ets2,Per1,1.12220875716351
Cebpa,Stat1,1.04906299123157
Fos,Nfkb2,0.982400092349277
Nfkb1,Ctnnb1,0.982386785911359
Fos,Hif1a,0.978882949743163
Nfkb1,Stat1,0.951678729878345
Ctnnb1,Fos,0.936831006622248
Stat1,Ets1,-0.921591925571546
Ets2,Cebpa,0.908841792154849
Cebpa,Cebpb,-0.896135726265868
Ctnnb1,Egr1,-0.895751221006284
Stat1,Ctnnb1,0.89572451195021
Stat1,Egr1,-0.886642658789819
Egr1,Stat1,0.86939534238254
Cebpa,Hif1a,-0.867470461339232
Egr1,Hif1a,-0.860525835282712
Cebpa,Nfkb2,-0.849929532880657
Per1,Egr1,0.842047042383824
Egr1,Nfkb2,-0.832986703486999
Ets2,Stat1,-0.828884330355213
Egr1,Cebpa,-0.793716201720972
Rel,Fos,0.745745234182094
Nfkb1,Per1,-0.744741191176679
Cebpb,Ets2,-0.741117311092424
Fos,Cebpa,0.70165790101938
Egr1,Ets1,0.700685732054307
Egr1,Ctnnb1,-0.693486509747612
Ets2,Hif1a,0.687479588327537
Per1,Fos,-0.680787176537186
Ets2,Nfkb2,0.672143655082117
Ctnnb1,Cebpb,0.629323867658021
Cebpb,Nfkb1,-0.585606553982369
Ets2,Ets1,-0.580243364052361
Stat1,Ets2,-0.571564498737977
Ets1,Stat1,-0.564900328304621
Cebpb,Cebpa,-0.559996614461351
Cebpb,Rel,-0.55643357028513
Per1,Ets2,0.553965902797837
Cebpa,Ets1,0.54944037530305
Ctnnb1,Ets2,-0.545086784582259
Rel,Per1,-0.524777237056325
Hif1a,Egr1,-0.500748125190248
Nfkb1,Rel,-0.490887842559199
Hif1a,Ets2,-0.480818189610959
Rel,Nfkb1,-0.452403705161974
Cebpb,Ets1,0.431414746339804
Ets2,Cebpb,0.402837342961376
Rel,Stat1,0.390231882677588
Nfkb2,Ets2,-0.383002560919082
Nfkb2,Egr1,-0.381882141594046
Cebpb,Per1,-0.380242385668477
Stat1,Nfkb1,-0.372739250348712
Hif1a,Fos,0.371764495873993
Ctnnb1,Nfkb1,-0.339629152479865
Cebpb,Stat1,0.33770486006407
Cebpa,Ctnnb1,-0.313182515561731
Stat1,Per1,-0.312099045475484
Per1,Nfkb1,0.311317878826502
Per1,Rel,0.304988882038372
Ctnnb1,Stat1,0.303422228596393
Stat4,Egr1,0.303193553016664
Ctnnb1,Rel,-0.291507208942603
Rel,Hif1a,-0.283683467000608
Rel,Nfkb2,-0.281453549437977
Stat4,Cebpb,0.27324192515412
Ctnnb1,Per1,-0.268071049050439
Cebpb,Hif1a,-0.267393540792345
Fos,Ets1,0.266647606800258
Cebpb,Nfkb2,-0.262237295238882
Nfkb1,Nfkb2,-0.252552327853438
Nfkb2,Cebpb,-0.245221399360528
Stat4,Ets2,0.239424949776031
Rel,Cebpa,-0.234396131873048
Per1,Cebpa,0.229627843937094
Per1,Stat1,-0.219151753010968
Nfkb1,Hif1a,-0.210431147933221
Hif1a,Per1,-0.203845255373974
Rel,Cebpb,-0.202221757533255
Ctnnb1,Cebpa,-0.199324051085014
Hif1a,Stat1,0.187671602248079
Stat1,Rel,-0.179621044576083
Hif1a,Rel,-0.177926535654273
Hif1a,Nfkb1,-0.172476875431325
Hif1a,Cebpb,0.172416598381812
Nfkb2,Rel,-0.159861737637027
Nfkb2,Per1,-0.152930638833208
Per1,Hif1a,0.152729406787062
Stat4,Ets1,-0.152115541512049
Per1,Nfkb2,0.151384216575622
Ets2,Ctnnb1,0.149678306617288
Ctnnb1,Nfkb2,-0.138518876135918
Ctnnb1,Hif1a,-0.131991302252878
Stat4,Rel,0.13075074238823
Per1,Cebpb,-0.127108215523646
Nfkb2,Fos,0.126542188252934
Fos,Stat4,0.126029305535061
Nfkb2,Nfkb1,-0.122276138505746
Jun,Ets2,0.111619716853192
Jun,Egr1,0.106777735167934
Hif1a,Ets1,-0.105973542146764
Stat4,Cebpa,0.105633905901475
Stat4,Ctnnb1,0.103050221781754
Stat4,Nfkb1,0.101731715435318
Fos,Jun,-0.101304105725665
Stat4,Fos,-0.0998631584052318
Stat4,Per1,0.0985412735127515
Per1,Ets1,-0.0971793809138812
Hif1a,Nfkb2,-0.0956077940615747
Nfkb2,Hif1a,-0.0922040918550373
Nfkb2,Stat1,0.0877903751055592
Nfkb1,Cebpa,0.0877820425981755
Nfkb2,Ctnnb1,-0.0876344458592477
Nfkb1,Jun,0.0873137946096638
Ctnnb1,Ets1,-0.0819561085675375
Nfkb2,Ets1,0.0817021009923439
Nfkb2,Cebpa,-0.0802832233382533
Nfkb1,Stat4,-0.0764604884578393
Stat4,Hif1a,0.0746819413527451
Egr1,Stat4,-0.0732192365166398
Cebpa,Stat4,-0.0729776646053369
Cebpa,Jun,0.0728216736608257
Hif1a,Ctnnb1,0.0721812534282489
Ets2,Jun,-0.0707674734202982
Cebpb,Ctnnb1,0.0702993440265909
Stat4,Nfkb2,0.0697595220759646
Stat1,Nfkb2,-0.0696752030149468
Stat1,Jun,0.0688544885009443
Jun,Cebpb,0.0631069314725963
Rel,Ctnnb1,-0.0612509405784376
Fos,Ctnnb1,-0.0544459497141735
Hif1a,Cebpa,-0.0500417671757303
Stat1,Cebpa,0.0484731748036628
Ets2,Stat4,0.0458568905325823
Per1,Ctnnb1,-0.0454028580502881
Jun,Rel,0.0445079311047909
Jun,Per1,0.0443480775981991
Cebpb,Jun,0.0441195595993705
Rel,Ets1,0.0421683241616123
Stat4,Stat1,-0.0392955331865152
Egr1,Jun,0.0388220973133444
Stat1,Stat4,-0.0369482812879706
Jun,Fos,-0.0357731916460643
Stat1,Hif1a,-0.035328984288134
Ctnnb1,Jun,0.0343984839741914
Jun,Nfkb1,0.0343966433620696
Rel,Stat4,-0.0313721116481414
Jun,Stat1,-0.0263040435052663
Jun,Hif1a,0.0257510370005589
Jun,Nfkb2,0.0249484527942231
Rel,Jun,0.024559652598921
Per1,Jun,-0.0225980699400787
Jun,Ctnnb1,0.0222755833511572
Ets1,Stat4,0.019882427267668
Jun,Cebpa,0.0195914662040193
Jun,Ets1,-0.015851832327879
Hif1a,Stat4,-0.0151748798553158
Hif1a,Jun,0.0140865217075823
Ctnnb1,Stat4,-0.0139506129663677
Fos,Cebpb,0.0126881918654809
Per1,Stat4,0.0099953059910276
Nfkb2,Stat4,-0.00784620405441053
Ets1,Jun,0.00598941133622017
Nfkb2,Jun,0.00299204658004655
Jun,Stat4,0.00253362295558639
Cebpb,Stat4,-0.00237383534574882
Stat4,Jun,-0.00134747488827186
