"","","","","q_value"
"1",Nfkb1,g5,1.91663584125249e-19,6.51656186025847e-18
"2",Rel,g5,1.72734157071684e-09,2.93648067021863e-08
"3",Jun,g5,3.87102470008502e-09,4.38716132676302e-08
"4",Rbpj,g5,3.32584510048484e-06,2.82696833541211e-05
"5",Nfkb2,g5,2.00985455333291e-05,0.000136670109626638
"6",Hif1a,g3,2.39326385743973e-05,0.000271236570509836
"7",Per1,g3,4.96085191268775e-05,0.000281114941718973
"8",Trp53,g3,4.2118813517017e-05,0.000281114941718973
"9",Stat1,g5,6.70071003278478e-05,0.000379706901857804
"10",Nfe2l2,g3,0.0001725621512977,0.000838159020588826
"11",Fos,g3,0.000353037616802598,0.00146627708376054
"12",Ctnnb1,g3,0.00038813216923073,0.00146627708376054
"13",Mapk8,g5,0.000827980902515991,0.00402162152650624
"14",Cebpb,g5,0.00116365099461213,0.00494551672710154
"15",Dnmt1,g3,0.00287539396889056,0.00874355085589178
"16",Id1,g3,0.00426411414190099,0.0111522985249718
"17",Egr1,g5,0.00451879592472626,0.0139671874036993
"18",Nfil3,g3,0.00590206470337563,0.014333585708198
"19",Fosl1,g5,0.00767217796039209,0.0200656962041024
"20",Mapk13,g5,0.0128137399357016,0.0311190827009895
"21",Ets1,g3,0.0205367280390762,0.0436405470830369
"22",Cebpa,g5,0.0220526371667244,0.0499859775779086
"23",Srebf2,g3,0.0419653985160437,0.0792679749747493
"24",Stat4,g4,0.00640490469831799,0.0895160288607457
"25",Stat2,g4,0.00920961595293449,0.0895160288607457
"26",Cited2,g4,0.0131641218912861,0.0895160288607457
"27",Sos1,g4,0.0131641218912861,0.0895160288607457
"28",Pttg1,g3,0.0674347341048868,0.109180045693626
"29",Mtf1,g3,0.0994366601382827,0.153674838395528
"30",Fosb,g3,0.115025759377434,0.15643503275331
"31",Ets2,g3,0.110949769582221,0.15643503275331
"32",Zbtb7a,g5,0.0951747416448457,0.190349483289691
