n_val,k_val,gene_2 to gene_1,gene_3 to gene_1,gene_4 to gene_1,gene_5 to gene_1,gene_6 to gene_1,gene_7 to gene_1,gene_1 to gene_2,gene_3 to gene_2,gene_4 to gene_2,gene_5 to gene_2,gene_6 to gene_2,gene_7 to gene_2,gene_1 to gene_3,gene_2 to gene_3,gene_4 to gene_3,gene_5 to gene_3,gene_6 to gene_3,gene_7 to gene_3,gene_5 to gene_4,gene_6 to gene_4,gene_3 to gene_5,gene_4 to gene_5,gene_6 to gene_5,gene_7 to gene_5,gene_1 to gene_6,gene_2 to gene_6,gene_3 to gene_6,gene_4 to gene_6,gene_5 to gene_6,gene_7 to gene_6,gene_1 to gene_7,gene_2 to gene_7,gene_3 to gene_7,gene_4 to gene_7,gene_5 to gene_7,gene_6 to gene_7
0.0,1.0,1,0,2,1,0,1,2,2,1,2,2,2,2,1,2,2,2,1,0,0,1,2,1,2,1,2,1,1,2,2,2,1,0,2,2,2
0.1,1.0,1,0,2,1,0,1,2,2,1,2,2,2,2,1,0,2,2,0,0,0,1,2,1,2,1,2,1,1,2,2,0,1,1,2,0,2
0.2,1.0,1,0,2,1,0,1,2,2,1,2,2,2,2,1,0,2,2,0,0,0,0,2,1,2,1,0,1,0,1,2,0,1,1,2,0,2
0.3,1.0,0,2,2,0,0,0,0,2,1,2,0,2,2,1,0,0,2,0,0,0,0,2,1,2,1,0,1,0,1,2,0,1,1,2,0,2
0.4,1.0,0,2,2,0,0,0,0,2,1,2,0,2,2,1,0,0,2,0,0,0,0,2,0,0,1,0,0,1,1,2,0,1,1,2,0,2
0.5,1.0,0,0,2,0,0,0,0,1,1,0,0,2,2,1,0,0,2,0,0,0,0,2,0,0,1,0,0,1,1,2,2,0,0,1,0,0
0.6,1.0,0,0,2,0,0,0,0,1,1,0,0,2,2,1,0,0,2,0,0,0,0,2,0,0,0,0,2,1,1,0,2,0,0,1,0,0
0.8,1.0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,2,0,0,0,0,2,1,1,0,2,0,0,1,0,0
1.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,2,0,0,0,0,2,1,1,0,2,0,0,1,0,0
1.2,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,1,0,0
1.5,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
2.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
2.5,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
3.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
3.5,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
4.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
5.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
6.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
8.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
10.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
15.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
20.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
50.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
100.0,1.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
