CV,gene_2 to gene_1,gene_3 to gene_1,gene_4 to gene_1,gene_5 to gene_1,gene_6 to gene_1,gene_7 to gene_1,gene_1 to gene_2,gene_3 to gene_2,gene_4 to gene_2,gene_6 to gene_2,gene_7 to gene_2,gene_2 to gene_3,gene_5 to gene_3,gene_6 to gene_3,gene_7 to gene_3,gene_2 to gene_4,gene_6 to gene_4,gene_7 to gene_4,gene_2 to gene_5,gene_3 to gene_5,gene_4 to gene_5,gene_6 to gene_5,gene_7 to gene_5,gene_1 to gene_6,gene_2 to gene_6,gene_3 to gene_6,gene_4 to gene_6,gene_5 to gene_6,gene_7 to gene_6,gene_1 to gene_7,gene_3 to gene_7,gene_4 to gene_7,gene_5 to gene_7
10.0,2,1,2,1,2,1,0,2,2,1,1,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,1,1,2,1
11.0,0,1,2,1,2,1,0,2,2,1,1,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,1,1,2,1
12.0,0,1,2,1,2,1,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,1,0,2,1
13.0,0,1,2,1,2,1,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,1,0,2,1
14.0,0,1,2,1,2,1,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,1,0,2,1
15.0,0,1,2,1,0,2,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,1,0,2,1
17.5,0,1,2,1,0,2,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,0,0,2,1
20.0,0,1,2,1,0,2,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,0,0,2,1
22.5,0,1,2,1,0,2,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,0,0,2,1
25.0,0,1,2,1,0,2,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,0,0,2,1
27.5,0,1,2,1,0,2,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,0,0,2,1
30.0,0,1,2,1,0,2,0,2,2,1,0,2,1,1,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,0,0,2,1
32.5,0,1,2,1,0,2,0,2,2,1,0,2,1,0,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,0,0,2,1
35.0,0,1,2,1,0,2,0,2,2,1,0,2,1,0,1,0,0,0,2,2,1,2,1,0,1,0,0,2,1,0,0,2,1
37.5,0,1,2,1,0,2,0,2,2,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
40.0,0,1,2,1,0,2,0,2,2,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
42.5,0,0,0,1,2,1,0,2,2,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
45.0,0,0,0,1,2,1,0,2,2,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
47.5,0,0,0,1,2,1,0,2,2,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
50.0,0,0,0,1,2,1,0,2,2,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
55.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
60.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
65.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
70.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
75.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
80.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
85.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
90.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
95.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
100.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
110.0,0,0,0,1,2,1,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
120.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,2,1
130.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,1
140.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,1
150.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,1
175.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,1
200.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,1
250.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,1
300.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,1,0
400.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,1,0
500.0,0,1,0,0,0,2,2,0,0,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,1,0
1000.0,0,1,0,0,0,2,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,1,0
