source,target,weight
gene_1,gene_7,0.13893327
gene_4,gene_1,0.13892841
gene_1,gene_6,0.13892463
gene_1,gene_5,0.1389206
gene_5,gene_3,0.13891678
gene_7,gene_3,0.13891318
gene_2,gene_1,0.13890296
gene_6,gene_3,0.13890028
gene_7,gene_4,0.13889001
gene_6,gene_1,0.13888803
gene_3,gene_1,0.13888635
gene_6,gene_5,0.13888587
gene_7,gene_2,0.13887875
gene_4,gene_2,0.13887638
gene_6,gene_2,0.1388734
gene_5,gene_7,0.13886383
gene_2,gene_7,0.13886121
gene_4,gene_3,0.13884644
gene_1,gene_4,0.13884532
gene_5,gene_6,0.13884512
gene_6,gene_7,0.138841
gene_5,gene_2,0.13883837
gene_3,gene_7,0.13882491
gene_5,gene_1,0.13882405
gene_6,gene_4,0.13882402
gene_2,gene_6,0.138815
gene_1,gene_3,0.13880895
gene_2,gene_3,0.13880825
gene_1,gene_2,0.138808
gene_2,gene_5,0.13880341
gene_3,gene_5,0.13879806
gene_5,gene_4,0.13879196
gene_4,gene_6,0.13878286
gene_7,gene_5,0.1387792
gene_7,gene_1,0.13877748
gene_2,gene_4,0.13876641
gene_7,gene_6,0.13876429
gene_4,gene_5,0.13876244
gene_3,gene_6,0.13874178
gene_4,gene_7,0.1387399
gene_3,gene_2,0.13873257
gene_3,gene_4,0.13873114
