source,target,weight
gene_5,gene_7,90.9655375590922
gene_1,gene_7,-58.5053987846748
gene_1,gene_5,-50.1097311039957
gene_4,gene_7,49.7636223410252
gene_6,gene_7,-43.2031200827034
gene_4,gene_5,43.0577097223244
gene_6,gene_5,-41.127587869875
gene_7,gene_5,-34.8478924026628
gene_5,gene_6,23.333510552649
gene_5,gene_4,-18.4572619782544
gene_5,gene_1,16.7444606748416
gene_1,gene_6,-15.7691679209704
gene_6,gene_4,15.2036592603392
gene_4,gene_6,14.0233959725995
gene_1,gene_4,12.5367281485077
gene_5,gene_2,10.2647913086695
gene_5,gene_3,9.46100119758195
gene_7,gene_1,-9.17117418111129
gene_7,gene_6,-9.08506770665525
gene_4,gene_1,8.18468915646559
gene_7,gene_4,6.95294816541769
gene_1,gene_2,-6.13460911359933
gene_7,gene_2,-5.96681594428394
gene_7,gene_3,-5.6483173859752
gene_1,gene_3,-5.59476324136184
gene_3,gene_7,-5.10029271001958
gene_4,gene_2,4.78605332435845
gene_3,gene_5,-4.59813257513016
gene_4,gene_3,4.30572371704257
gene_6,gene_1,-2.57383545486222
gene_3,gene_6,-1.78099614900665
gene_2,gene_5,-1.55703107422374
gene_2,gene_7,-1.46570916505433
gene_3,gene_4,1.44788530536897
gene_2,gene_6,-0.918144676841872
gene_2,gene_4,0.774033069962504
gene_3,gene_1,-0.611477297245492
gene_6,gene_3,0.352217627846935
gene_3,gene_2,-0.288120564673453
gene_6,gene_2,-0.252337905543248
gene_2,gene_3,0.196770915724635
gene_2,gene_1,0.11082301998799
