CV,gene_2 to gene_1,gene_3 to gene_1,gene_4 to gene_1,gene_1 to gene_2,gene_3 to gene_2,gene_4 to gene_2,gene_2 to gene_3,gene_4 to gene_3,gene_5 to gene_3,gene_6 to gene_3,gene_7 to gene_3,gene_1 to gene_4,gene_2 to gene_4,gene_3 to gene_4,gene_6 to gene_4,gene_7 to gene_4,gene_1 to gene_5,gene_2 to gene_5,gene_3 to gene_5,gene_4 to gene_5,gene_6 to gene_5,gene_7 to gene_5,gene_1 to gene_6,gene_3 to gene_6,gene_5 to gene_6,gene_7 to gene_6,gene_3 to gene_7,gene_4 to gene_7,gene_5 to gene_7,gene_6 to gene_7
10.0,2,2,1,2,2,1,2,1,2,2,2,0,0,0,0,0,2,2,0,1,2,2,1,2,2,1,2,1,1,2
11.0,2,2,1,2,2,1,2,1,2,2,2,0,0,0,0,0,2,2,0,1,2,2,1,2,2,1,2,1,1,2
12.0,2,2,1,2,2,1,2,1,2,2,2,0,0,0,0,0,2,2,0,1,2,2,1,2,2,1,2,1,1,0
13.0,2,2,1,2,2,1,2,1,2,2,2,0,0,0,0,0,2,2,0,1,2,2,1,2,2,1,2,1,1,0
14.0,2,2,1,2,2,1,2,1,2,2,2,0,0,0,0,0,2,2,0,1,2,2,1,2,2,1,2,1,1,0
15.0,2,2,1,2,2,1,0,1,1,2,2,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,1,1,0
17.5,2,2,1,2,2,1,0,1,1,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,1,1,0
20.0,2,2,1,2,2,1,0,1,1,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,1,1,0
22.5,2,2,1,2,2,1,0,1,1,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,1,1,0
25.0,2,2,1,2,2,1,0,1,1,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,1,1,0
27.5,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,1,1,0
30.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,1,1,0
32.5,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,0,1,0
35.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,1,2,0,1,0
37.5,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,2,0,1,0
40.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,2,0,1,0
42.5,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,2,0,1,0
45.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,2,0,1,0
47.5,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,2,0,1,0
50.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,2,0,1,0
55.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,0,2,1,1,0,2,1,2,2,0,2,0,1,0
60.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
65.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
70.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
75.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
80.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
85.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
90.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
95.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
100.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
110.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
120.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
130.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
140.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
150.0,2,2,1,2,2,1,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
175.0,2,2,1,2,2,0,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
200.0,2,2,1,2,2,0,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,1,2,2,0,2,0,1,0
250.0,2,2,1,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,2,0,1,0
300.0,2,2,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,2,0,1,0
400.0,2,2,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,2,0,1,0
500.0,2,2,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,2,0,1,0
1000.0,2,2,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0
