Source,Target,Interaction
gene_2,gene_1,1
gene_3,gene_1,1
gene_4,gene_1,1
gene_5,gene_1,1
gene_6,gene_1,1
gene_7,gene_1,1
gene_1,gene_2,1
gene_3,gene_2,1
gene_4,gene_2,1
gene_6,gene_2,1
gene_7,gene_2,1
gene_1,gene_3,1
gene_2,gene_3,1
gene_5,gene_3,1
gene_6,gene_3,1
gene_7,gene_3,1
gene_1,gene_4,1
gene_2,gene_4,1
gene_3,gene_4,1
gene_5,gene_4,1
gene_6,gene_4,1
gene_7,gene_4,1
gene_1,gene_5,1
gene_2,gene_5,1
gene_3,gene_5,1
gene_4,gene_5,1
gene_6,gene_5,1
gene_7,gene_5,1
gene_1,gene_6,1
gene_2,gene_6,1
gene_3,gene_6,1
gene_4,gene_6,1
gene_5,gene_6,1
gene_7,gene_6,1
gene_1,gene_7,1
gene_2,gene_7,1
gene_3,gene_7,1
gene_4,gene_7,1
gene_6,gene_7,1
