"","x"
"1","Tcea1"
"2","Atp6v1h"
"3","Vcpip1"
"4","Mcmdc2"
"5","Ppp1r42"
"6","Cspp1"
"7","Arfgef1"
"8","Tram1"
"9","Rpl7"
"10","Rdh10"
"11","Smap1"
"12","Sdhaf4"
"13","Rab23"
"14","Ptpn18"
"15","Neurl3"
"16","Cnnm4"
"17","Inpp4a"
"18","Mitd1"
"19","Eif5b"
"20","Pdcl3"
"21","Rpl31"
"22","Tbc1d8"
"23","Map4k4"
"24","Il1r2"
"25","Il18r1"
"26","Mrps9"
"27","Uxs1"
"28","Nabp1"
"29","Stat1"
"30","Nab1"
"31","Inpp1"
"32","Hibch"
"33","Asnsd1"
"34","Coq10b"
"35","Hspd1"
"36","Kctd18"
"37","Ndufb3"
"38","Cflar"
"39","Casp8"
"40","Trak2"
"41","Stradb"
"42","Fam117b"
"43","Nbeal1"
"44","Ino80d"
"45","Gm20342"
"46","Klf7"
"47","Plekhm3"
"48","Idh1"
"49","Pikfyve"
"50","Rpe"
"51","Kansl1l"
"52","Acadl"
"53","Rpl37a"
"54","Tns1"
"55","Rufy4"
"56","Cxcr1"
"57","Usp37"
"58","Bcs1l"
"59","Rnf25"
"60","Zfand2b"
"61","Ankzf1"
"62","Stk16"
"63","Tuba4a"
"64","Dnpep"
"65","Wdfy1"
"66","C130026I21Rik"
"67","A530032D15Rik"
"68","Sp110"
"69","Sp140"
"70","Sp100"
"71","Psmd1"
"72","Ncl"
"73","Ptma"
"74","Pde6d"
"75","Gigyf2"
"76","Sag"
"77","Dgkd"
"78","Ugt1a6a"
"79","Hjurp"
"80","Arl4c"
"81","Cops8"
"82","Ube2f"
"83","Hes6"
"84","Per2"
"85","Hdac4"
"86","Ndufa10"
"87","Cops9"
"88","Gpc1"
"89","Capn10"
"90","Gpr35"
"91","Hdlbp"
"92","Thap4"
"93","Ing5"
"94","D2hgdh"
"95","St8sia4"
"96","Slco4c1"
"97","Panct2"
"98","Gin1"
"99","Pam"
"100","Relch"
"101","Zcchc2"
"102","Clasp1"
"103","Dbi"
"104","Insig2"
"105","Ccdc93"
"106","Actr3"
"107","Rab3gap1"
"108","R3hdm1"
"109","Dars"
"110","Cxcr4"
"111","Cd55"
"112","Yod1"
"113","Eif2d"
"114","Ctse"
"115","Slc41a1"
"116","Nucks1"
"117","Dstyk"
"118","Ppp1r15b"
"119","Snrpe"
"120","Btg2"
"121","Klhl12"
"122","Ptpn7"
"123","Kif21b"
"124","Gm19705"
"125","2310009B15Rik"
"126","Dennd1b"
"127","Rgs18"
"128","Pla2g4a"
"129","Ptgs2"
"130","Ptgs2os2"
"131","Odr4"
"132","Tpr"
"133","Swt1"
"134","Glul"
"135","Acbd6"
"136","Cep350"
"137","4930523C07Rik"
"138","Mrps14"
"139","Rabgap1l"
"140","Zbtb37"
"141","Prdx6"
"142","Suco"
"143","Selp"
"144","Gm16548"
"145","F5"
"146","Dcaf6"
"147","Mpc2"
"148","Rcsd1"
"149","Tmco1"
"150","Pbx1"
"151","Nos1ap"
"152","Olfml2b"
"153","Fcgr2b"
"154","Sdhc"
"155","Itln1"
"156","Cd244a"
"157","Cd48"
"158","Igsf8"
"159","Tagln2"
"160","4933439K11Rik"
"161","Aim2"
"162","Sdccag8"
"163","Adss"
"164","Desi2"
"165","Cox20"
"166","Cnst"
"167","Coq8a"
"168","Itpkb"
"169","Sde2"
"170","Tmem63a"
"171","Nvl"
"172","Wdr26"
"173","Lbr"
"174","Degs1"
"175","1700047M11Rik"
"176","Fbxo28"
"177","Gm37800"
"178","Hlx"
"179","A430105J06Rik"
"180","Rps6kc1"
"181","Flvcr1"
"182","Atf3"
"183","Ppp2r5a"
"184","Lpgat1"
"185","Traf3ip3"
"186","Hsd11b1"
"187","G0s2"
"188","A330023F24Rik"
"189","Dclre1c"
"190","Fam107b"
"191","Optn"
"192","Echdc3"
"193","Pfkfb3"
"194","Rsu1"
"195","Vim"
"196","Nsun6"
"197","Arl5b"
"198","Mllt10"
"199","Dnajc1"
"200","Armc3"
"201","Msrb2"
"202","Spopl"
"203","Hnmt"
"204","Il1f9"
"205","Il1rn"
"206","Mrpl41"
"207","Tubb4b"
"208","Ssna1"
"209","Uap1l1"
"210","Fut7"
"211","Tmem250-ps"
"212","Dnlz"
"213","Notch1"
