"","Source","Target","Interaction"
"1","Ets1","Fos","1"
"2","Egr1","Fos","1"
"3","Ets1","Sp3","1"
"5","Fos","Sp3","1"
"6","Egr1","Sp3","1"
"7","Ets2","Sp3","1"
"8","Cebpb","Sp3","1"
"9","Stat1","Sp3","1"
"10","Egr1","Cebpa","1"
"11","Jund","Cebpb","1"
"12","Jund","Jun","1"
"13","Jund","Per1","1"
"14","Jund","Relb","1"
"17","Jun","Jund","1"
"18","Jun","Per1","1"
"19","Jun","Relb","1"
"20","Jun","Cebpb","1"
"21","Jun","Egr1","1"
"22","Jun","Nfkb2","1"
"23","Jund","Egr1","1"
"24","Jund","Nfkb2","1"
"25","Stat1","Ctnnb1","1"
"26","Stat1","Jun","1"
"28","Relb","Ctnnb1","1"
"29","Relb","Nfkb2","1"
"31","Stat1","Hif1a","1"
"32","Stat1","Jund","1"
"33","Stat1","Relb","1"
"34","Relb","Jun","1"
"35","Fos","Cebpb","1"
"36","Fos","Jun","1"
"37","Fos","Nfkb2","1"
"38","Fos","Per1","1"
"39","Fos","Relb","1"
"40","Nfkb2","Ctnnb1","1"
"41","Nfkb2","Egr1","1"
"43","Nfkb2","Relb","1"
"44","Nfkb2","Stat1","1"
"45","Jund","Ctnnb1","1"
"46","Jund","Ets2","1"
"47","Cebpa","Per1","1"
"49","Cebpb","Egr1","1"
"50","Cebpb","Jun","1"
"51","Cebpb","Per1","1"
"52","Fos","Ctnnb1","1"
"53","Fos","Egr1","1"
"54","Fos","Jund","1"
"55","Fos","Stat1","1"
"56","Cebpb","Stat1","1"
"57","Fos","Ets2","1"
"58","Relb","Egr1","1"
"59","Nfkb2","Ets2","1"
"60","Nfkb2","Hif1a","1"
"61","Nfkb2","Per1","1"
"62","Cebpa","Cebpb","1"
"63","Cebpa","Ctnnb1","1"
"64","Cebpa","Jun","1"
"65","Cebpa","Jund","1"
"66","Stat1","Egr1","1"
"67","Stat1","Per1","1"
"68","Egr1","Cebpb","1"
"69","Egr1","Ctnnb1","1"
"71","Egr1","Jun","1"
"72","Egr1","Per1","1"
"73","Egr1","Stat1","1"
"74","Relb","Jund","1"
"75","Relb","Stat1","1"
"76","Egr1","Nfkb2","1"
"77","Jun","Ctnnb1","1"
"78","Jun","Ets2","1"
"79","Cebpb","Ctnnb1","1"
"80","Egr1","Hif1a","1"
"81","Egr1","Jund","1"
"82","Relb","Per1","1"
"83","Cebpb","Jund","1"
"84","Ets1","Jund","1"
"85","Ets2","Jund","1"
"86","Cebpb","Ets1","1"
"88","Fos","Ets1","1"
"89","Cebpa","Ets1","1"
"90","Hif1a","Ets1","1"
"91","Jund","Ets1","1"
"92","Jun","Ets1","1"
"93","Nfkb2","Ets1","1"
"314","Cebpb","Cebpa","1"
"324","Cebpb","Fos","1"
"1110","Ets1","Egr1","1"
"1166","Ets2","Egr1","1"
"1174","Ets2","Jun","1"
"2284","Jun","Fos","1"
"4146","Per1","Egr1","1"
"5827","Sp3","Cebpa","1"
"710","Sp3","Hif1a","1"
"171","Jun","Sp3","1"
"281","Ctnnb1","Cebpa","1"
"301","Ctnnb1","Hif1a","1"
"311","Ctnnb1","Jun","1"
"331","Stat1","Fos","1"
"351","Hif1a","Jun","1"
