"seed","total_edges","network","AUPRC","AUROC"
125,27,1,0.787883914331283,0.902777777777778
125,27,2,0.692121304621305,0.972222222222222
125,30,1,0.727567886658796,1
125,30,2,0.592594740569049,0.972222222222222
125,33,1,0.653004643577766,0.916666666666667
125,33,2,0.588984138391253,1
125,36,1,0.641823995341393,0.907407407407407
125,36,2,0.562678536083879,0.925925925925926
125,39,1,0.702702986070953,0.923611111111111
125,39,2,0.532790404040404,0.9
125,42,1,0.662973824264147,0.86965811965812
125,42,2,0.558715892218185,0.858333333333333
177,27,1,0.900294667828993,0.833333333333333
177,27,2,0.88835054946325,0.907407407407407
177,30,1,0.814945058558172,0.833333333333333
177,30,2,0.860733556606319,0.925925925925926
177,33,1,0.746123368083087,0.833333333333333
177,33,2,0.715887561656195,0.944444444444444
177,36,1,0.767513317926852,0.777777777777778
177,36,2,0.779609676756416,0.894444444444444
177,39,1,0.641439113612288,0.861111111111111
177,39,2,0.578030008028874,0.840277777777778
177,42,1,0.546705032336826,0.842592592592593
177,42,2,0.526073423702734,0.817901234567901
629,27,1,0.756058362399158,0.972222222222222
629,27,2,0.771457994424501,0.972222222222222
629,30,1,0.729078455898423,0.902777777777778
629,30,2,0.709576204557023,0.972222222222222
629,33,1,0.72124882290658,0.875
629,33,2,0.696245006878491,0.842592592592592
629,36,1,0.629813165396996,0.85
629,36,2,0.562972147197654,0.844444444444444
629,39,1,0.562043808393598,0.75
629,39,2,0.519524132408924,0.840277777777778
629,42,1,0.535169723483799,0.657407407407407
629,42,2,0.494377228328239,0.814814814814815
753,27,1,0.871627031379353,0.907407407407407
753,27,2,0.710609012447248,0.898148148148148
753,30,1,0.793273018389478,0.909722222222222
753,30,2,0.624494669940221,0.796296296296296
753,33,1,0.750251123154576,0.958333333333333
753,33,2,0.614433130180065,0.791666666666667
753,36,1,0.767563357811506,0.925925925925926
753,36,2,0.71885982780866,0.815972222222222
753,39,1,0.681869061406975,0.923611111111111
753,39,2,0.517218320894791,0.767361111111111
753,42,1,0.607940475676041,0.866666666666667
753,42,2,0.453926608880169,0.715277777777778
1419,27,1,0.718189544373755,0.888888888888889
1419,27,2,0.6954615417001,0.722222222222222
1419,30,1,0.649244515548863,0.875
1419,30,2,0.63714226443846,0.833333333333333
1419,33,1,0.623260330000786,0.861111111111111
1419,33,2,0.572764113281355,0.75
1419,36,1,0.491053391053391,0.797619047619048
1419,36,2,0.581388830467778,0.933333333333333
1419,39,1,0.492010712240975,0.842592592592593
1419,39,2,0.568306878306878,0.908730158730159
1419,42,1,0.514147808908046,0.833333333333333
1419,42,2,0.536432264270974,0.892361111111111
1434,27,1,0.841536030235973,0.930555555555555
1434,27,2,0.806702313281261,0.930555555555556
1434,30,1,0.817305957930958,0.944444444444445
1434,30,2,0.766045116499662,0.935185185185185
1434,33,1,0.803083305583305,0.900793650793651
1434,33,2,0.783624455294319,0.87962962962963
1434,36,1,0.710724878328471,0.875
1434,36,2,0.73790249605467,0.972222222222222
1434,39,1,0.6097370329,0.875
1434,39,2,0.614412795439256,0.849206349206349
1434,42,1,0.614186260281721,0.861111111111111
1434,42,2,0.560068542568542,0.892857142857143
1477,27,1,0.798347849651677,0.902777777777778
1477,27,2,0.869942331724628,0.935185185185185
1477,30,1,0.67900430260597,0.8125
1477,30,2,0.784370260065749,0.944444444444444
1477,33,1,0.727930551372196,0.766666666666667
1477,33,2,0.756451857058613,0.939814814814815
1477,36,1,0.666074698072219,0.853174603174603
1477,36,2,0.750656426498205,1
1477,39,1,0.614584427010897,0.868055555555556
1477,39,2,0.630858578203406,0.954861111111111
1477,42,1,0.536081764613838,0.861111111111111
1477,42,2,0.547480129175416,0.940972222222222
1594,27,1,0.832116375196871,0.907407407407407
1594,27,2,0.823667657115547,1
1594,30,1,0.613734386855349,0.851851851851852
1594,30,2,0.592318903318903,0.805555555555556
1594,33,1,0.596466969021317,0.875
1594,33,2,0.506229967948718,0.944444444444444
1594,36,1,0.633611414012782,0.896825396825397
1594,36,2,0.496773018648019,0.819444444444444
1594,39,1,0.622524276582248,0.882716049382716
1594,39,2,0.492827031839129,0.848765432098766
