"seed","total_edges","network","AUPRC","AUROC"
125,27,1,0.732866868579062,0.888888888888889
125,30,1,0.725909243936015,0.888888888888889
125,33,1,0.674260742689218,0.847222222222222
125,36,1,0.636306676692868,0.828703703703704
125,39,1,0.619124320784835,0.837301587301587
125,42,1,0.581846729951779,0.79320987654321
125,27,2,0.781404365530663,0.861111111111111
125,30,2,0.733435334268516,0.861111111111111
125,33,2,0.730790657181648,0.866666666666667
125,36,2,0.718805827616442,0.865740740740741
125,39,2,0.713971608033809,0.868055555555555
125,42,2,0.621417328517781,0.833333333333333
177,27,1,0.908450616965737,0.888888888888889
177,30,1,0.763402959573056,0.888888888888889
177,33,1,0.757699187641663,0.895833333333333
177,36,1,0.720485520321912,0.912037037037037
177,39,1,0.687247174820547,0.892361111111111
177,42,1,0.627481172923017,0.858024691358025
177,27,2,0.761019659099818,0.819444444444444
177,30,2,0.656883568181146,0.796296296296296
177,33,2,0.651470876596695,0.838888888888889
177,36,2,0.622986480163035,0.838888888888889
177,39,2,0.487066413470803,0.796296296296296
177,42,2,0.445655796744266,0.777777777777778
629,27,1,0.732705316532071,0.972222222222222
629,30,1,0.68484090014803,0.888888888888889
629,33,1,0.63055180151461,0.907407407407408
629,36,1,0.579676448135163,0.907407407407407
629,39,1,0.546191525032328,0.880952380952381
629,42,1,0.541521327910024,0.894444444444444
629,27,2,0.831625074272133,0.861111111111111
629,30,2,0.775850262290574,0.861111111111111
629,33,2,0.736781884266404,0.777777777777778
629,36,2,0.686519312442983,0.705555555555556
629,39,2,0.555961647356771,0.658730158730159
629,42,2,0.540864375631,0.648148148148148
753,27,1,0.780464187381237,1
753,30,1,0.745607259322093,0.916666666666667
753,33,1,0.668413571743269,0.916666666666667
753,36,1,0.630959846969037,0.814814814814815
753,39,1,0.607292867453719,0.825396825396825
753,42,1,0.586004534427363,0.813888888888889
753,27,2,0.644583938517482,0.805555555555556
753,30,2,0.638104801712258,0.851851851851852
753,33,2,0.595738919412102,0.833333333333333
753,36,2,0.59103955630525,0.845238095238095
753,39,2,0.581900353505216,0.830246913580247
753,42,2,0.575218365692624,0.813888888888889
1419,27,1,0.72708820058884,0.814814814814815
1419,30,1,0.713804879051043,0.8
1419,33,1,0.591993437532984,0.791666666666667
1419,36,1,0.528551046865509,0.802777777777778
1419,39,1,0.528551046865509,0.802777777777778
1419,42,1,0.496917662027593,0.802777777777778
1419,27,2,0.713857019841021,0.666666666666667
1419,30,2,0.664835747477422,0.833333333333333
1419,33,2,0.662771231721223,0.916666666666667
1419,36,2,0.635953161983463,0.811111111111111
1419,39,2,0.51658791463617,0.777777777777778
1419,42,2,0.446875443272916,0.756944444444445
1434,27,1,0.815457795176089,1
1434,30,1,0.796173303778614,0.907407407407407
1434,33,1,0.771896237876181,0.877777777777778
1434,36,1,0.723630415370575,0.898148148148148
1434,39,1,0.698470626270474,0.861111111111111
1434,42,1,0.644322209614128,0.842592592592593
1434,27,2,0.785073121095703,0.916666666666667
1434,30,2,0.774931056530096,0.888888888888889
1434,33,2,0.739448595182207,0.894444444444444
1434,36,2,0.691245557401598,0.865079365079365
1434,39,2,0.625142137054586,0.84375
1434,42,2,0.602651445296341,0.858333333333333
1477,27,1,0.64423975143924,0.694444444444444
1477,30,1,0.609098140505166,0.763888888888889
1477,33,1,0.589482162162734,0.701388888888889
1477,36,1,0.465562412172123,0.659722222222222
1477,39,1,0.442030482894776,0.616666666666667
1477,42,1,0.414987321096567,0.578703703703704
1477,27,2,0.83075158466253,0.847222222222222
1477,30,2,0.774829028900236,0.840277777777778
1477,33,2,0.749734269216227,0.838888888888889
1477,36,2,0.737450729644822,0.836805555555556
