"seed","total_edges","network","AUPRC_act","AUPRC_inh"
125,27,1,0.681800144300144,0.65047619047619
125,27,2,0.437072707871027,0.864291549953315
125,30,1,0.612430426716141,0.515079365079365
125,30,2,0.363829810540337,0.747130325814536
125,33,1,0.584449404761905,0.496031746031746
125,33,2,0.311552028218695,0.755059523809524
125,36,1,0.525175707001155,0.483465608465609
125,36,2,0.330978148835292,0.785966810966811
125,39,1,0.528958276968007,0.529597998619738
125,39,2,0.309758297258297,0.585
125,42,1,0.482783337467262,0.690278471528472
125,42,2,0.283402463549522,0.556204906204906
177,27,1,0.779478458049887,0.729910714285714
177,27,2,0.719454448446045,0.534524364524365
177,30,1,0.657271696557411,0.703571428571429
177,30,2,0.71522200387332,0.468671328671329
177,33,1,0.63379329004329,0.588343253968254
177,33,2,0.665780573593074,0.410480499892265
177,36,1,0.465637221072004,0.593968808968809
177,36,2,0.668929711592755,0.362296650717703
177,39,1,0.301653775517412,0.690277777777778
177,39,2,0.64242662099805,0.428368298368298
177,42,1,0.321309489883158,0.706883116883117
177,42,2,0.600657839697249,0.405770803270803
629,27,1,0.607284580498866,0.893558029272315
629,27,2,0.675340136054422,0.715136054421769
629,30,1,0.662201547285581,0.6408543487325
629,30,2,0.634948979591837,0.61859410430839
629,33,1,0.561958874458874,0.678698616198616
629,33,2,0.61326788291074,0.690873015873016
629,36,1,0.406809240142573,0.665471036899608
629,36,2,0.479937770562771,0.640098971077232
629,39,1,0.407537678371012,0.543647424004567
629,39,2,0.482332251082251,0.588464313464313
629,42,1,0.377231410564744,0.479621848739496
629,42,2,0.383373223998224,0.492900551829123
753,27,1,0.675238095238095,0.631051587301587
753,27,2,0.545386904761905,0.537615470948804
753,30,1,0.708333333333333,0.546372608872609
753,30,2,0.555109126984127,0.464407968574635
753,33,1,0.732539682539683,0.519166666666667
753,33,2,0.603373015873016,0.407851392474155
753,36,1,0.764285714285714,0.444416679715364
753,36,2,0.598640688159322,0.406113905301212
753,39,1,0.627829537612146,0.446815699964196
753,39,2,0.617568027210884,0.305377124563571
753,42,1,0.594502950752951,0.344472789115646
753,42,2,0.582234432234432,0.261808688387636
1419,27,1,0.602270723104056,0.625757575757576
1419,27,2,0.593650793650794,0.455654761904762
1419,30,1,0.609876543209877,0.489057239057239
1419,30,2,0.478117913832199,0.423611111111111
1419,33,1,0.560126454329353,0.364761904761905
1419,33,2,0.494042465471037,0.367410714285714
1419,36,1,0.414568610401944,0.265625
1419,36,2,0.71286525974026,0.354626623376623
1419,39,1,0.414568610401944,0.265625
1419,39,2,0.655634469696969,0.307118055555556
1419,42,1,0.468248418248418,0.246260683760684
1419,42,2,0.372549325674326,0.47988782051282
1434,27,1,0.63125,0.501359751359752
1434,27,2,0.64305173992674,0.725860344137655
1434,30,1,0.572098214285714,0.484093067426401
1434,30,2,0.507142857142857,0.688218110210592
1434,33,1,0.666666666666667,0.456203364536698
1434,33,2,0.573041549953315,0.483560090702948
1434,36,1,0.523333333333333,0.456200072621641
1434,36,2,0.548607503607504,0.422302697302697
1434,39,1,0.529112554112554,0.44431745632726
1434,39,2,0.412716681466682,0.427350427350427
1434,42,1,0.544980158730159,0.332274250428409
1434,42,2,0.421273726273726,0.351778938255231
1477,27,1,0.728997493734336,0.468956043956044
1477,27,2,0.773333333333333,0.520294784580499
1477,30,1,0.677752525252525,0.43343253968254
1477,30,2,0.756150793650794,0.498159776731205
1477,33,1,0.630001882175795,0.403165849673203
1477,33,2,0.617316017316017,0.617857142857143
1477,36,1,0.595302845302845,0.583495670995671
1477,36,2,0.752218278615794,0.384139307897072
1477,39,1,0.602422161172161,0.563455988455988
1477,39,2,0.667232905982906,0.37578139589169
1477,42,1,0.472496947496947,0.451461038961039
1477,42,2,0.594579725829726,0.445017135642136
1594,27,1,0.854166666666667,0.493766233766234
1594,27,2,0.595034510943602,0.54
1594,30,1,0.710863095238095,0.488417554667555
