"seed","total_edges","network","AUPRC_act","AUPRC_inh"
125,27,1,0.675297619047619,0.703809523809524
125,27,2,0.513086749851456,0.864291549953315
125,30,1,0.594980416408988,0.564285714285714
125,30,2,0.436095921622237,0.73578111946533
125,33,1,0.542255363683935,0.556666666666667
125,33,2,0.380460858585859,0.763194444444445
125,36,1,0.53777899119514,0.523333333333333
125,36,2,0.398384948384948,0.741464646464646
125,39,1,0.62388801674516,0.587898550724638
125,39,2,0.33022632129775,0.652907647907648
125,42,1,0.508549387120816,0.751282051282051
125,42,2,0.291856742697079,0.638607226107226
177,27,1,0.838293650793651,0.883095238095238
177,27,2,0.793723739495798,0.817590048840049
177,30,1,0.709936095650381,0.873295454545455
177,30,2,0.764254385964912,0.768794538794539
177,33,1,0.728440656565657,0.654816017316017
177,33,2,0.735802469135802,0.514134623546388
177,36,1,0.621595463715029,0.788919413919414
177,36,2,0.797285745655311,0.548420147104358
177,39,1,0.429023291523292,0.76533189033189
177,39,2,0.614692714692715,0.381370603797074
177,42,1,0.437819486547935,0.695233007733008
177,42,2,0.538718896046482,0.363611111111111
629,27,1,0.596444032158318,0.843452380952381
629,27,2,0.593650793650794,0.75483630952381
629,30,1,0.62348166539343,0.661712184873949
629,30,2,0.590816326530612,0.603075396825397
629,33,1,0.528521825396825,0.717261904761905
629,33,2,0.549407338693053,0.654761904761905
629,36,1,0.379755892255892,0.59880179344465
629,36,2,0.369899891774892,0.537415890269151
629,39,1,0.325557929724596,0.624619847939176
629,39,2,0.311607142857143,0.576705586080586
629,42,1,0.306015897682564,0.569135229849515
629,42,2,0.288797313797314,0.542570546737213
753,27,1,0.821428571428571,0.737878787878788
753,27,2,0.612142857142857,0.64464146964147
753,30,1,0.833333333333333,0.622182138848805
753,30,2,0.622222222222222,0.510164835164835
753,33,1,0.821097883597884,0.511337412587413
753,33,2,0.610119047619048,0.396592108910949
753,36,1,0.8,0.468987232574189
753,36,2,0.8056167262689,0.373001456747587
753,39,1,0.678407522429262,0.454949494949495
753,39,2,0.479415584415584,0.339460745016301
753,42,1,0.553680842966557,0.356300432024116
753,42,2,0.410228313353313,0.259791524265209
1419,27,1,0.530505952380952,0.744345238095238
1419,27,2,0.572222222222222,0.634013605442177
1419,30,1,0.562053571428571,0.607208994708995
1419,30,2,0.470478595478595,0.589583333333333
1419,33,1,0.563718708827404,0.60646694575266
1419,33,2,0.425548855905999,0.475694444444444
1419,36,1,0.431783216783217,0.423268398268398
1419,36,2,0.579124579124579,0.366477272727273
1419,39,1,0.464012654012654,0.420135566188198
1419,39,2,0.518915343915344,0.305546536796537
