"seed","total_edges","network","AUPRC_act","AUPRC_inh"
125,27,1,0.752777777777778,0.430208333333333
125,27,2,0.638103991596639,0.463217256599609
125,30,1,0.72962962962963,0.356994047619048
125,30,2,0.61515507518797,0.441303068276752
125,33,1,0.679365079365079,0.314707341269841
125,33,2,0.610714285714286,0.385890652557319
125,36,1,0.633816425120773,0.260441468253968
125,36,2,0.603043831168831,0.339365881032548
125,39,1,0.622222222222222,0.234446463862225
125,39,2,0.474228395061728,0.33179012345679
125,42,1,0.58941798941799,0.204066506410256
125,42,2,0.467283950617284,0.278189239953946
177,27,1,0.558008658008658,0.555555555555556
177,27,2,0.548244631185808,0.617765567765568
177,30,1,0.544119769119769,0.438690476190476
177,30,2,0.484268626110731,0.602380952380952
177,33,1,0.521438410074774,0.4
177,33,2,0.467727272727273,0.421738695478191
177,36,1,0.43410268365802,0.341854636591479
177,36,2,0.430219297610602,0.362790905836019
177,39,1,0.402777651641288,0.313997113997114
177,39,2,0.365875790875791,0.298113790970934
177,42,1,0.39482009195959,0.26115515436944
177,42,2,0.335099579104281,0.277161410018553
629,27,1,0.512599206349206,0.81078869047619
629,27,2,0.721428571428571,0.490740740740741
629,30,1,0.494952147525677,0.64281337535014
629,30,2,0.644897959183673,0.438712522045855
629,33,1,0.418299062049062,0.529834054834055
629,33,2,0.627437641723356,0.37962962962963
629,36,1,0.408071789321789,0.424780466447133
629,36,2,0.564625850340136,0.338298443370907
629,39,1,0.366950757575758,0.374682724682725
629,39,2,0.557823129251701,0.268131868131868
629,42,1,0.325861291486291,0.341180732847399
629,42,2,0.554160125588697,0.242361111111111
753,27,1,0.668367346938776,0.550833333333334
753,27,2,0.420068027210884,0.558611111111111
753,30,1,0.642857142857143,0.449761904761905
753,30,2,0.396258503401361,0.479166666666667
753,33,1,0.536706349206349,0.433095238095238
753,33,2,0.341836734693877,0.437590579710145
753,36,1,0.370941558441558,0.413530020703934
753,36,2,0.288768115942029,0.395
753,39,1,0.305513417741679,0.403095238095238
753,39,2,0.278333333333333,0.321512746512747
753,42,1,0.275841346153846,0.364543650793651
753,42,2,0.273717948717949,0.308928571428571
1419,27,1,0.510923520923521,0.601360544217687
1419,27,2,0.684920634920635,0.533189033189033
1419,30,1,0.430873015873016,0.498412698412698
1419,30,2,0.668253968253968,0.447960372960373
1419,33,1,0.348415515643777,0.480272108843537
1419,33,2,0.563624338624339,0.399841131091131
1419,36,1,0.303232600732601,0.409467120181406
1419,36,2,0.504403158569825,0.392170676545676
1419,39,1,0.303232600732601,0.409467120181406
1419,39,2,0.43428531345198,0.36354739010989
1419,42,1,0.296364468864469,0.379053089767376
1419,42,2,0.400605258938592,0.346279761904762
1434,27,1,0.37037037037037,0.922222222222222
1434,27,2,0.759915547415548,0.739859943977591
1434,30,1,0.327493686868687,0.91
1434,30,2,0.723313492063492,0.612474937343358
1434,33,1,0.285648148148148,0.805297619047619
1434,33,2,0.6885348583878,0.598690476190476
1434,36,1,0.269444444444444,0.667797619047619
1434,36,2,0.400494743351886,0.515376984126984
1434,39,1,0.250844988344988,0.641503912753913
1434,39,2,0.384268707482993,0.506562881562882
1434,42,1,0.220634920634921,0.603275072628521
1434,42,2,0.378814162028448,0.399645546024856
1477,27,1,0.775755677071467,0.584615384615385
1477,27,2,0.518783068783069,0.64375
1477,30,1,0.756181949363768,0.331349206349206
1477,30,2,0.410339506172839,0.55625
1477,33,1,0.750792082313822,0.312091503267974
1477,33,2,0.363708513708514,0.45
1477,36,1,0.737110112110112,0.225883838383838
1477,36,2,0.338986657464918,0.337842190016103
1477,39,1,0.683398924308015,0.216792929292929
1477,39,2,0.330291005291005,0.312901234567901
1477,42,1,0.532260101010101,0.193253968253968
1477,42,2,0.322883597883598,0.282323232323232
