"pair","per","perturbed_mean"
"Cebpb_Jun",0,0.33870069203083
"Cebpb_Jun",0.1,0.35940246720569
"Cebpb_Jun",0.2,0.384958482155809
"Cebpb_Jun",0.3,0.416350801110253
"Cebpb_Jun",0.4,0.449291460294675
"Cebpb_Jun",0.5,0.484712438571326
"Cebpb_Jun",0.6,0.509092676651841
"Cebpb_Jun",0.7,0.527942598824267
"Cebpb_Jun",0.8,0.542261212409892
"Cebpb_Jun",0.9,0.555151191878192
"Cebpb_Jun",1,0.563510903103734
"Ets1_Ets1",0,0.337402162798196
"Ets1_Ets1",0.1,0.329671073206767
"Ets1_Ets1",0.2,0.315899809971518
"Ets1_Ets1",0.3,0.30137106537784
"Ets1_Ets1",0.4,0.285470312700626
"Ets1_Ets1",0.5,0.275721094235766
"Ets1_Ets1",0.6,0.271813492277609
"Ets1_Ets1",0.7,0.283914691380269
"Ets1_Ets1",0.8,0.281198931907148
"Ets1_Ets1",0.9,0.278781268510069
"Ets1_Ets1",1,0.276056627735004
"Ets1_Stat1",0,0.337525336677128
"Ets1_Stat1",0.1,0.338457328257313
"Ets1_Stat1",0.2,0.332040820256888
"Ets1_Stat1",0.3,0.323187281923592
"Ets1_Stat1",0.4,0.316832841929263
"Ets1_Stat1",0.5,0.310133117999778
"Ets1_Stat1",0.6,0.305936056940329
"Ets1_Stat1",0.7,0.303388898037853
"Ets1_Stat1",0.8,0.29976014586686
"Ets1_Stat1",0.9,0.298473281892976
"Ets1_Stat1",1,0.295642034858181
"Fos_Egr1",0,0.338098479304124
"Fos_Egr1",0.1,0.356939952535469
"Fos_Egr1",0.2,0.377774102039386
"Fos_Egr1",0.3,0.400620068723532
"Fos_Egr1",0.4,0.428121841120958
"Fos_Egr1",0.5,0.46219286334729
"Fos_Egr1",0.6,0.508485125062415
"Fos_Egr1",0.7,0.544271476377801
"Fos_Egr1",0.8,0.574823386909007
"Fos_Egr1",0.9,0.601664661480855
"Fos_Egr1",1,0.623619792327101
