"seed","total_edges","jaccard"
125,27,0.44
125,30,0.333333333333333
125,33,0.384615384615385
125,36,0.384615384615385
125,39,0.333333333333333
125,42,0.333333333333333
177,27,0.384615384615385
177,30,0.384615384615385
177,33,0.44
177,36,0.5
177,39,0.5
177,42,0.44
629,27,0.285714285714286
629,30,0.333333333333333
629,33,0.333333333333333
629,36,0.285714285714286
629,39,0.241379310344828
629,42,0.241379310344828
753,27,0.565217391304348
753,30,0.5
753,33,0.44
753,36,0.384615384615385
753,39,0.333333333333333
753,42,0.333333333333333
1419,27,0.384615384615385
1419,30,0.384615384615385
1419,33,0.333333333333333
1419,36,0.285714285714286
1419,39,0.285714285714286
1419,42,0.285714285714286
1434,27,0.44
1434,30,0.384615384615385
1434,33,0.384615384615385
1434,36,0.384615384615385
1434,39,0.44
1434,42,0.333333333333333
1477,27,0.5
1477,30,0.333333333333333
1477,33,0.44
1477,36,0.44
1477,39,0.384615384615385
1477,42,0.384615384615385
1594,27,0.44
1594,30,0.44
1594,33,0.384615384615385
1594,36,0.285714285714286
1594,39,0.241379310344828
1594,42,0.241379310344828
1612,27,0.384615384615385
1612,30,0.333333333333333
1612,33,0.333333333333333
1612,36,0.333333333333333
1612,39,0.285714285714286
1612,42,0.285714285714286
2120,27,0.384615384615385
2120,30,0.384615384615385
2120,33,0.384615384615385
2120,36,0.384615384615385
2120,39,0.384615384615385
2120,42,0.333333333333333
2569,27,0.44
2569,30,0.5
2569,33,0.44
2569,36,0.44
2569,39,0.384615384615385
2569,42,0.384615384615385
3219,27,0.44
3219,30,0.44
3219,33,0.714285714285714
3219,36,0.636363636363636
3219,39,0.714285714285714
3219,42,0.636363636363636
3646,27,0.285714285714286
3646,30,0.285714285714286
3646,33,0.333333333333333
3646,36,0.333333333333333
3646,39,0.384615384615385
3646,42,0.44
4119,27,0.333333333333333
4119,30,0.333333333333333
4119,33,0.285714285714286
4119,36,0.241379310344828
4119,39,0.241379310344828
4119,42,0.2
4250,27,0.44
4250,30,0.384615384615385
4250,33,0.241379310344828
4250,36,0.285714285714286
4250,39,0.333333333333333
4250,42,0.333333333333333
5042,27,0.44
5042,30,0.565217391304348
5042,33,0.44
5042,36,0.384615384615385
5042,39,0.384615384615385
5042,42,0.44
5236,27,0.565217391304348
5236,30,0.5
5236,33,0.5
5236,36,0.5
5236,39,0.5
5236,42,0.384615384615385
6072,27,0.5
6072,30,0.44
6072,33,0.5
6072,36,0.565217391304348
6072,39,0.565217391304348
6072,42,0.565217391304348
6534,27,0.384615384615385
6534,30,0.333333333333333
6534,33,0.285714285714286
6534,36,0.285714285714286
6534,39,0.285714285714286
6534,42,0.285714285714286
4510,27,0.44
4510,30,0.384615384615385
4510,33,0.44
4510,36,0.565217391304348
4510,39,0.5
4510,42,0.44
