n,naive_size,cancer_size,naive_mse,cancer_mse
0.0,89,80,5.35820176401373e-05,4.9484307246776126e-05
0.1,76,70,5.754905853845301e-05,2.649465026005724e-05
0.2,65,61,0.00011973032964194202,5.066184683526888e-05
0.3,59,53,0.00014549486121488651,6.529369803619422e-05
0.4,46,47,0.0001479629756146929,7.877753407060138e-05
0.5,41,41,0.00015416603945943026,0.0001721837598793543
0.6,38,38,0.00022251353975885488,0.0005137199957468767
0.7,38,34,0.00022251353975885488,0.0006532767714897282
0.8,36,33,0.0002247133626598142,0.0007333232829389164
0.9,32,28,0.0002584936884667488,0.0009733037950779694
1.0,29,28,0.00035738205184857996,0.0009691604916080685
1.1,28,27,0.0006136233098500848,0.0009691604916080685
1.2,28,27,0.0006136233098500848,0.0009691604916080685
1.3,27,25,0.0005979622991577522,0.0009783774013586266
1.4,27,24,0.0005979622991577522,0.001002281935791029
1.5,26,23,0.0007943784159300524,0.0009199116800773695
1.6,26,23,0.0007943784159300524,0.0009199116800773695
1.7,25,21,0.0008656195764468939,0.0009687443322769796
1.8,25,20,0.0008656195764468939,0.0010320641901962432
1.9,24,19,0.0015104397880673641,0.0013376205285273136
