"","Source","Target","Interaction"
"2","Egr1","Ets1","1"
"3","Rel","Ets1","1"
"4","Cebpb","Ets1","1"
"5","Jun","Egr1","1"
"6","Rel","Egr1","1"
"7","Rel","Nfkb1","1"
"8","Nfkb1","Egr1","1"
"10","Nfkb1","Stat4","1"
"11","Cebpb","Stat4","1"
"12","Cebpb","Egr1","1"
"13","Stat1","Egr1","1"
"14","Fos","Egr1","1"
"15","Ets1","Egr1","1"
"16","Nfkb2","Egr1","1"
"17","Nfkb2","Nfkb1","1"
"18","Nfkb2","Stat4","1"
"19","Rel","Stat4","1"
"20","Hif1a","Nfkb1","1"
"21","Ets1","Nfkb1","1"
"23","Stat1","Cebpa","1"
"24","Cebpb","Cebpa","1"
"25","Cebpb","Stat1","1"
"26","Egr1","Cebpa","1"
"27","Fos","Ets2","1"
"28","Stat1","Ctnnb1","1"
"29","Stat1","Hif1a","1"
"30","Stat1","Jun","1"
"31","Stat1","Rel","1"
"32","Nfkb1","Ctnnb1","1"
"33","Nfkb1","Nfkb2","1"
"34","Nfkb1","Rel","1"
"35","Jun","Ets2","1"
"36","Rel","Nfkb2","1"
"38","Nfkb1","Per1","1"
"39","Rel","Ctnnb1","1"
"40","Rel","Per1","1"
"41","Nfkb2","Ctnnb1","1"
"42","Nfkb2","Hif1a","1"
"44","Nfkb2","Rel","1"
"45","Nfkb1","Hif1a","1"
"46","Nfkb1","Jun","1"
"47","Rel","Ets2","1"
"48","Rel","Hif1a","1"
"49","Rel","Jun","1"
"51","Cebpb","Ctnnb1","1"
"52","Cebpb","Ets2","1"
"54","Jun","Per1","1"
"55","Cebpb","Jun","1"
"56","Cebpb","Per1","1"
"57","Jun","Cebpb","1"
"58","Jun","Nfkb2","1"
"59","Jun","Hif1a","1"
"60","Cebpa","Cebpb","1"
"61","Cebpa","Ctnnb1","1"
"62","Cebpa","Jun","1"
"63","Cebpa","Per1","1"
"64","Egr1","Cebpb","1"
"65","Egr1","Ctnnb1","1"
"66","Egr1","Jun","1"
"67","Egr1","Per1","1"
"68","Egr1","Rel","1"
"69","Jun","Ctnnb1","1"
"70","Stat4","Ctnnb1","1"
"71","Nfkb1","Ets2","1"
"72","Nfkb2","Ets2","1"
"73","Nfkb2","Per1","1"
"74","Egr1","Hif1a","1"
"75","Ets1","Jun","1"
"76","Ets1","Per1","1"
"77","Ets1","Rel","1"
"78","Fos","Ctnnb1","1"
"79","Fos","Rel","1"
"80","Jun","Rel","1"
"81","Ets1","Ctnnb1","1"
"82","Ets1","Cebpb","1"
"83","Fos","Cebpb","1"
"84","Fos","Nfkb2","1"
"85","Stat4","Jun","1"
"86","Fos","Jun","1"
"87","Fos","Per1","1"
"88","Egr1","Nfkb2","1"
"294","Cebpa","Nfkb1","1"
"324","Cebpb","Fos","1"
"1113","Ets1","Fos","1"
"1166","Ets2","Egr1","1"
"1174","Ets2","Jun","1"
"2284","Jun","Fos","1"
"2342","Jun","Nfkb1","1"
"3351","Nfkb1","Cebpa","1"
"3352","Nfkb1","Cebpb","1"
"3389","Nfkb1","Fos","1"
"3503","Nfkb1","Stat1","1"
"4146","Per1","Egr1","1"
"181","Stat4","Stat1","1"
"201","Stat1","Fos","1"
"261","Ctnnb1","Cebpa","1"
"281","Ctnnb1","Hif1a","1"
"291","Ctnnb1","Jun","1"
"301","Hif1a","Jun","1"
"371","Rel","Fos","1"
"451","Cebpb","Nfkb1","1"
