"","","","","q_value"
"1",Jun,g5,2.50079602904966e-08,8.75278610167381e-07
"2",Stat1,g5,2.69555972408033e-07,4.71722951714057e-06
"3",Nfkb2,g5,7.30262033321116e-07,8.51972372207968e-06
"4",Egr1,g5,5.36188876309535e-06,4.69165266770843e-05
"5",Cebpb,g5,9.08066108030637e-06,6.35646275621446e-05
"6",Dmtf1,g5,1.88784452146754e-05,0.000110124263752273
"7",Notch1,g5,2.48256942386474e-05,0.000124128471193237
"8",Cebpa,g5,0.000135079222434353,0.000590971598150294
"9",Stat2,g5,0.000265835227847124,0.00103380366384993
"10",Ctnnb1,g5,0.000365819080283674,0.00118835979141526
"11",Rbmx,g5,0.000373484505873368,0.00118835979141526
"12",Hif1a,g5,0.000495583357615938,0.00144545145971315
"13",Fos,g2,0.00019575305178275,0.00171283920309907
"14",Relb,g5,0.000743911436503147,0.00200283848289309
"15",Ets2,g2,0.000401549781730029,0.0028108484721102
"16",Sp3,g5,0.00112854479436432,0.00282136198591079
"17",Ncoa1,g5,0.0019371622962953,0.00423754252314597
"18",Per1,g5,0.0019371622962953,0.00423754252314597
"19",Bcl3,g5,0.00283267831156013,0.00550798560581137
"20",Smarca4,g5,0.00394510442160436,0.00690393273780763
"21",Crem,g5,0.00394510442160436,0.00690393273780763
"22",Jund,g5,0.00597223946981707,0.00995373244969511
"23",Irf1,g5,0.00820670243886536,0.0130561175163767
"24",Nfat5,g1,0.000400357438833534,0.0140125103591737
"25",Smad1,g5,0.00953174543451082,0.0145048300090382
"26",Id1,g5,0.0108286100996304,0.015791723061961
"27",Ets1,g5,0.019348905852052,0.0270884681928727
"28",Nfyb,g5,0.0217336136779905,0.0292567876434487
"29",Mapk13,g5,0.0283324308052222,0.0354155385065278
"30",Mapk3,g5,0.0435363168631489,0.0525438306969038
"31",Runx2,g5,0.094315856147658,0.110035165505601
"32",Snai1,g5,0.101640382220075,0.114755270248472
"33",Klf5,g2,0.0348533138240201,0.12198659838407
"34",Xbp1,g5,0.12959883684471,0.141748727798902
